author_id,author_name,author_email,author_country
1,John Smith,john.smith@example.com,United States
2,Jane Doe,jane.doe@example.com,Canada
3,Michael Johnson,michael.johnson@example.com,United Kingdom
4,Emily Brown,emily.brown@example.com,Australia
5,David Lee,david.lee@example.com,South Korea
6,Sarah Parker,sarah.parker@example.com,Germany
7,Chris Evans,chris.evans@example.com,France
8,Emma Wilson,emma.wilson@example.com,Japan
9,James White,james.white@example.com,Spain
10,Lisa Taylor,lisa.taylor@example.com,Italy
